haul_category,count_pairs,pct_cost_equal,mean_dijkstra_time_ms,mean_astar_time_ms,median_dijkstra_time_ms,median_astar_time_ms,mean_time_saved_ms,pct_pairs_astar_faster_mean_time,mean_dijkstra_expanded_nodes,mean_astar_expanded_nodes,mean_expanded_nodes_saved_by_astar,pct_pairs_astar_fewer_expansions
short,40,100.0,0.11631586125011495,0.12343954650006594,0.028863249994515172,0.04533574998788481,-0.007123685249950995,27.5,3.675,2.375,1.3,55.0
medium,40,100.0,0.14893317349981317,0.16358084012542662,0.04700375001220891,0.045181250001746776,-0.014647666625613454,52.5,8.525,2.45,6.075,100.0
long,40,100.0,0.14090447962456665,0.0639911340002115,0.06641449999733595,0.04456725000068218,0.07691334562435514,90.0,15.775,2.35,13.425,100.0
