src,dst,haul_category,direct_distance_km,runs,dijkstra_mean_time_ms,astar_mean_time_ms,dijkstra_median_time_ms,astar_median_time_ms,dijkstra_cost_km,astar_cost_km,cost_equal,cost_diff_km,dijkstra_hops,astar_hops,dijkstra_expanded_nodes,astar_expanded_nodes,expanded_nodes_saved_by_astar,pct_expansion_reduction,dijkstra_relaxations,astar_relaxations,relaxations_saved_by_astar,speedup_mean_d_over_a,speedup_median_d_over_a,mean_time_saved_ms,median_time_saved_ms,pct_time_reduction_mean
BOS,EWR,short,322.3061793065701,200,0.03470050054602325,0.05508800008101389,0.027799978852272034,0.04640000406652689,322.3066245,322.3066245,True,0.0,1,1,3,2,1,33.33333333333333,35,19,16,0.629910334283179,0.5991374227556809,-0.02038749953499064,-0.018600025214254856,-58.752753459422614
EWR,BOS,short,322.3061793065701,200,0.023872999590821564,0.057296002050861716,0.023600005079060793,0.04179996903985739,322.3066245,322.3066245,True,0.0,1,1,2,2,0,0.0,16,16,0,0.416660826869377,0.5645938411236037,-0.03342300246004015,-0.018199963960796595,-140.00336377038383
DFW,IAH,short,361.6206139496341,200,0.0303375007933937,0.059933000593446195,0.024200009647756815,0.04700000863522291,361.6211134,361.6211134,True,0.0,1,1,2,2,0,0.0,17,17,0,0.5061902540002506,0.5148937276922276,-0.029595499800052494,-0.022799998987466097,-97.5541789075032
IAH,DFW,short,361.6206139496341,200,0.03709449927555397,0.05683999974280596,0.025500019546598196,0.0420999713242054,361.6211134,361.6211134,True,0.0,1,1,2,2,0,0.0,16,16,0,0.6526125869704793,0.6057015894435288,-0.019745500467251986,-0.016599951777607203,-53.23026554577237
ATL,CLT,short,364.5670800162342,200,0.03747500013560057,0.055019999854266644,0.027999980375170708,0.046600005589425564,364.5675836,364.5675836,True,0.0,1,1,2,2,0,0.0,19,19,0,0.6811159621021788,0.6008578758952862,-0.017544999718666077,-0.018600025214254856,-46.81787766559245
DTW,ORD,short,376.38863271849743,200,0.033167999354191124,0.05864500009920448,0.026100024115294218,0.043599982745945454,376.3891526,376.3891526,True,0.0,1,1,2,2,0,0.0,17,17,0,0.5655725006067661,0.5986246432109281,-0.025477000745013356,-0.017499958630651236,-76.81199119956588
ORD,DTW,short,376.38863271849743,200,0.024808500020299107,0.05697200045688078,0.023799948394298553,0.0418000272475183,376.3891526,376.3891526,True,0.0,1,1,2,2,0,0.0,16,16,0,0.4354507445999795,0.5693763846939017,-0.03216350043658167,-0.018000078853219748,-129.64709841491614
LAS,LAX,short,379.99427342364186,200,0.022353000531438738,0.048871000471990556,0.022299995180219412,0.036299985367804766,379.9947983,379.9947983,True,0.0,1,1,2,2,0,0.0,12,12,0,0.4573878233626487,0.6143251837230148,-0.026517999940551817,-0.013999990187585354,-118.63284261661047
LAX,LAS,short,379.99427342364186,200,0.02539250039262697,0.052005500183440745,0.02459995448589325,0.04529999569058418,379.9947983,379.9947983,True,0.0,1,1,2,2,0,0.0,17,17,0,0.4882656700360376,0.5430454045497065,-0.026612999790813774,-0.020700041204690933,-104.80653491903142
LAS,PHX,short,410.84865923201306,200,0.027679999766405672,0.05383850046200678,0.026800029445439577,0.04020001506432891,410.8492267,410.8492267,True,0.0,1,1,3,2,1,33.33333333333333,29,12,17,0.5141302140452284,0.6666671493170738,-0.026158500695601106,-0.013399985618889332,-94.50325475561903
