algo,src,dst,haul_category,direct_distance_km,runs,mean_time_ms,median_time_ms,min_time_ms,stdev_time_ms,cost_km,hops,expanded_nodes,relaxations,heap_pushes,status
ASTAR,MCO,FLL,short,285.9013961051168,200,0.06124022499903958,0.05530149999799505,0.05410500000380125,0.01062883321203112,1774.4792278999998,2,4,41,22,OK
DIJKSTRA,BOS,JFK,short,300.17797708950235,200,0.028371985000603672,0.025889999989203716,0.025344999983190064,0.005846787655088578,300.1783917,1,2,19,20,OK
ASTAR,BOS,JFK,short,300.17797708950235,200,0.371520340000302,0.0471279999771923,0.046316000009483105,4.541281470141844,300.1783917,1,2,19,20,OK
DIJKSTRA,MCO,MIA,short,309.9731294998318,200,0.023735360000216588,0.022402500007956405,0.021886000013182638,0.0053197069371964615,309.9735577,1,2,11,12,OK
ASTAR,MCO,MIA,short,309.9731294998318,200,0.039865845001259004,0.035683499987726464,0.03473100002793217,0.007969170387864238,309.9735577,1,2,11,12,OK
DIJKSTRA,MIA,MCO,short,309.9731294998318,200,0.028028800000754472,0.022713000021212792,0.022234000027765433,0.029034455158540494,309.9735577,1,2,12,13,OK
ASTAR,MIA,MCO,short,309.9731294998318,200,0.0444865900007585,0.03706900000111091,0.03607600001487299,0.022485262045859235,309.9735577,1,2,12,13,OK
DIJKSTRA,BOS,EWR,short,322.3061793065701,200,0.3539429199997812,0.029059000013376135,0.028166999982204288,4.536870598805651,322.3066245,1,3,35,20,OK
ASTAR,BOS,EWR,short,322.3061793065701,200,0.05050293999886435,0.04723450001620222,0.04638199999362769,0.006948153571061335,322.3066245,1,2,19,20,OK
DIJKSTRA,EWR,BOS,short,322.3061793065701,200,0.025517004998789616,0.024430999985725066,0.02397999998038358,0.0034280137326348783,322.3066245,1,2,16,17,OK
ASTAR,EWR,BOS,short,322.3061793065701,200,0.04818462499912357,0.04255999996871651,0.04148099998246835,0.009418191618387608,322.3066245,1,2,16,17,OK
DIJKSTRA,DFW,IAH,short,361.6206139496341,200,0.34790797499908876,0.02502949999438897,0.024521000000277127,4.5384041697993345,361.6211134,1,2,17,18,OK
ASTAR,DFW,IAH,short,361.6206139496341,200,0.05036460499923123,0.04523749998952553,0.043923000021095504,0.009512315343830765,361.6211134,1,2,17,18,OK
DIJKSTRA,IAH,DFW,short,361.6206139496341,200,0.03078472999902715,0.02633049999190007,0.024146999976437655,0.007541436232871031,361.6211134,1,2,16,17,OK
ASTAR,IAH,DFW,short,361.6206139496341,200,0.04520782499980669,0.04314000000249507,0.042530000030183146,0.007159659302125807,361.6211134,1,2,16,17,OK
DIJKSTRA,ATL,CLT,short,364.5670800162342,200,0.4041240250009537,0.026002000026892347,0.025414000049295282,5.285363948624734,364.5675836,1,2,19,20,OK
ASTAR,ATL,CLT,short,364.5670800162342,200,0.0806362199978139,0.047194000018180304,0.046236999992288474,0.422170563690152,364.5675836,1,2,19,20,OK
DIJKSTRA,DTW,ORD,short,376.38863271849743,200,0.02782286499922293,0.025392499992449302,0.024891000009574782,0.006337851291306155,376.3891526,1,2,17,18,OK
ASTAR,DTW,ORD,short,376.38863271849743,200,0.04782414499999277,0.0443819999986772,0.04340699996419062,0.006258026759304045,376.3891526,1,2,17,18,OK
DIJKSTRA,ORD,DTW,short,376.38863271849743,200,0.025980115000834303,0.024556500022754335,0.02407400000947746,0.003726718276520296,376.3891526,1,2,16,17,OK
