src,dst,distance_km
MSP,PHL,1574.425506
MSP,PHX,2051.710666
MSP,SEA,2244.811556
MSP,SLC,1591.53555
ORD,ATL,976.3291777
ORD,BOS,1391.080247
ORD,CLT,964.5800038
ORD,DFW,1290.647088
ORD,DTW,376.3891526
ORD,EWR,1154.455228
ORD,FLL,1905.395995
ORD,IAH,1490.653941
ORD,LAS,2431.696207
ORD,MCO,1620.08537
ORD,MIA,1930.043009
ORD,MSP,536.9960616
ORD,PHL,1088.325173
ORD,PHX,2313.429082
ORD,SEA,2761.755439
ORD,SLC,2006.157594
PHL,ATL,1071.594433
PHL,BOS,450.1425979
PHL,DTW,728.0532405
PHL,FLL,1600.629674
PHL,IAH,2129.48645
PHL,LAS,3494.418936
PHL,MCO,1388.557408
PHL,MSP,1574.425506
PHL,PHX,3332.82885
PHL,SEA,3817.659164
PHX,ATL,2549.084751
PHX,DTW,2683.983354
PHX,EWR,3425.371622
PHX,IAH,1620.967994
PHX,LAX,594.3617022
PHX,MCO,2969.692013
PHX,MSP,2051.710666
PHX,SEA,1781.825944
PHX,SLC,817.7451968
SEA,ATL,3504.981899
SEA,BOS,4005.514368
SEA,DEN,1645.068105
SEA,DFW,2668.156672
SEA,DTW,3093.011827
SEA,EWR,3854.819501
SEA,FLL,4367.613797
SEA,IAH,3013.409303
SEA,JFK,3886.643273
SEA,LAS,1395.111133
SEA,MCO,4104.692265
SEA,MSP,2244.811556
SEA,ORD,2761.755439
SEA,PHL,3817.659164
SEA,PHX,1781.825944
SEA,SLC,1106.716032
SLC,CLT,2773.597843
SLC,DEN,627.5906906
SLC,DFW,1589.46656
SLC,EWR,3160.250611
SLC,FLL,3349.473622
SLC,IAH,1922.351611
SLC,MCO,3103.287667
SLC,ORD,2006.157594
SLC,PHL,3092.818832
SLC,PHX,817.7451968
